creator_name,userid,comment
"Viktor Larkhill", 89939,"Viktor... You are an Angel... who is here to save innocent pets and teach kindness to humans.... I pray the cat gets well soon.. God bless you.."
"The Dodo", 89939,"Oh.. I loved him and his Mom too..."
"The Dodo", 89939,"God Bless you all...."
"The Dodo", 89939,"Amazing owner.. Adorable Ziggy..."
"The Dodo", 89939,"You all are Angels and Heroes... the rescuers and the adopters.... You all are God sent to protect the innocent lives... Long Live... God bless you..."
"The Dodo", 89939,"Thank God..."
"Vet Ranch", 89939,"OMG... You completely transformed her.... Enjoy your forever home and family baby... God bless you all..."
"Jody Hartman / Dog Named Stella", 89939,"Soo cute. Enjoy Stella.."
"The Humane Society of the United States", 89939,"Poor little baby.... Thank you for rescuing it...."
"Viktor Larkhill", 89939,"Please save Clara.. her eyes are so beautiful... Thank you Viktor for saving her... I pray she gets well soon and goes into a loving family..."
"The Dodo", 89939,"Definitely.. humans do not deserve dogs.. I thank God and the family who adopted her... God bless you.."
"New York Bully Crew", 89939,"I thank God for NYBC... You guys are Angels on the earth..."
"The Dodo", 89939,"God Bless you all..."
"Viktor Larkhill", 89939,"Viktor.. A miraculous man..."
"The Dodo", 89939,"I love animal lovers.... God bless you..."
"Riot The Red Fox", 89939,"Only Love matters.... God bless you..."
"The Dodo", 89939,"The little girl is so true... God bless..."
"Vet Ranch", 89939,"Thank you guys.. Congrats Dolly... Bless you.."
"The Dodo", 89939,"I have faith in humanity.. because people like you exist... Thank you guys.. God bless.."
"Viktor Larkhill", 89939,"I pray she gets well soon.... Thank you Viktor...."
"Chela Landau", 89939,"OMG... Please update..."
"Viktor Larkhill", 89939,"Viktor... have no words for your work..... Only blessings...."
"The Dodo", 89939,"OMG... You Guys are Angels.... Great job.. God bless... I pray they all get loving forever homes....."
"The Dodo", 89939,"OMG.. he missed his dad a lot.. got so many things to share... Nice video...."
"Viktor Larkhill", 89939,"God.... as Victor Larkhil... On the earth... Thank you..."
"The Dodo", 89939,"I thank the rescuer who also adopted Grace..  Grace you are lucky... God bless you.."
"The Dodo", 89939,"Ban dog meat trading just as Taiwan... Only way to protect these innocent dogs and puppies.."
"The Humane Society of the United States", 89939,"Daniel Hanney... I appreciate you and thank you....."
"The Dodo", 89939,"A gentle loving dog... And the owners are amazing.. I wish them all the best..."
"The Dodo", 89939,"Amazing lady... An Angel... The dogs are in safe hands... Thank God...."
"New York Bully Crew", 89939,"NYBC... I have no words for you.. only blessings.... Craig.. you are God sent... To protect His creation..."
"The Humane Society of the United States", 89939,"Thank you.. BB is in safe hands.. Brenda.. Great job... God bless you.."
"The Dodo", 89939,"Amazing people.. Great job guys.. Thank you for rescuing the innocent dogs and abandoned pets."
"Louie The Beagle", 89939,"So Cute.."
"Stray Rescue of St. Louis", 89939,"The real Heroes... I salute you guys...."
"The Dodo", 89939,"Lovely family... I wanna join you guys... God bless you.... Thank you Dodo.."
"New York Bully Crew", 89939,"Great job NYBC.... Thumbs up for you guys.. God bless you."
"New York Bully Crew", 89939,"Great job.. Hats off NYBC.. God bless.."
"World Animal Awareness Society", 89939,"I pray he gets a loving forever family... Thank you for rescuing an innocent soul..."
"Viktor Larkhill", 89939,"Viktor.. You are walking God on this earth... You inspire many many.... Long Live Viktor.... Blessings..."
"Viktor Larkhill", 89939,"I pray Bongo gets well soon and starts walking again..."
"Viktor Larkhill", 89939,"I believe in Viktor and his team.. God bless.."
"Stray Rescue of St. Louis", 89939,"You are doing a great job.. God bless..."
"The Dodo", 89939,"So cute... God bless..."
"DarkDynastyK9s", 89939,"Beautiful dogs.. Very well trained.. the credit goes to the owner...thumbs up... Why the ears are cropped..."
"The Dodo", 89939,"The cutest..."
"The Dodo", 89939,"OH.. He is soo sweet.. God bless you all..."
"Viktor Larkhill", 89939,"Yes Viktor.. she is a devil Angel... And you  are an Angel... I love the dedication commitment compassion kindness you have towards abandoned and orphaned pets.. ... A true Human.. God bless you.."
"The Dodo", 89939,"I pray the doggy gets a loving forever home and family... Thank you Dodo..."
"WaysideWaifs", 89939,"OH Gladys.. You are a sweet baby... Thank you for rescuing this lovely dog.. I pray she gets a loving forever home.. God bless you.."
"Viktor Larkhill", 89939,"Just prayers and blessings...."
"Stray Rescue of St. Louis", 89939,"I thank Randy and his team and hope the doggy gets a forever home and family...."
"The Dodo", 89939,"Lovely human... Lovely dog..... Thumbs up for you...."
"Jody Hartman / Dog Named Stella", 89939,"Stella you are so cute.."
"Paws Channel", 89939,"Great job by the dog lover.... Bless him..."
"Vet Ranch", 89939,"God Bless Vet Ranch and Petunia...."
"The Dodo", 89939,"I thank the people  So greatful..and admire.. their work.. their unconditional love towards dogs and other abandoned pets.. you people are Angels on this earth.. I wish more and more people like you on this planet Earth.. God bless you..."
"ASPCA", 89939,"Lovely video... So cute they are.. I wish them to be adopted together.. and pray for them.. Lovely reunion.. Thumbs up for the rescuers..."
"Viktor Larkhill", 89939,"What a transformation... You guys are great."
"Viktor Larkhill", 89939,"What a transformation... You guys are great.."
"Viktor Larkhill", 89939,"I am very happy for Sky... God bless Viktor and his team Sky and the family who adopted him...."
"New York Bully Crew", 89939,"Caci.. You are in safe hands... I pray.. she gets a loving forever home... Great job NYBC.. God bless you.."
"National Mill Dog Rescue", 89939,"God Bless you Amos... and Mom and Dad... Great job... Thumbs up for you guys..."
"The Dodo", 89939,"The luckiest.... Having a great Mom and Dad... God bless.."
"The Dodo", 89939,"Great job Piper.. and his Dad.. Thumbs up for you.."
"The Dodo", 89939,"God Bless the boy and the puppy..."
"Vet Ranch", 89939,"God Bless Vet Ranch always... Thank you for rescuing and giving Rosie a second chance....."
"The Dodo", 89939,"Hehe... So cute.."
"The Dodo", 89939,"Rest in peace Dear friend...."
"The Dodo", 89939,"The real Heroes... Thank you for rescuing Callis...."
"The Dodo", 89939,"Thank God.. he is in safe hands... The puppy is adorable...."
"Bound Angels", 89939,"Great job... Thumbs up for you..."
"The Dodo", 89939,"Inhuman... Chaining a dog for ten years... Thank you for rescuing him..."
"The Dodo", 89939,"So cute...."
"The Dodo", 89939,"BRAVO.."
"World Animal Awareness Society", 89939,"God Bless the whole family..."
"Stray Rescue of St. Louis", 89939,"God Bless you..."
"SlideShow ForFun", 89939,"Julia.. You are a lion... only a lion deserves a lion.... Thumbs up for you and your work..."
"SlideShow ForFun", 89939,"Wonderful... Better than human beings.... God bless them..."
"Viktor Larkhill", 89939,"Victor Larkhil.. You are an amazing person... God bless you for saving an angel Sandra... Sweet  gentle giant..."
"Dr. Andy Mathis", 89939,"Dr. Andy Mathis.. I just couldnt stop appreciating you.. I wish all the people on the earth are like you... then there is no animal cruelty... God bless Gracey... She is in best hands... God bless you.."
"PETA (People for the Ethical Treatment of Animals)", 89939,"OMG... Cruel people... This video is  an eye opener...."
"The Dodo", 89939,"A gentle soul... Thank you guys for rescuing him... and giving him a second chance in life.. God bless you..."
"Jody Hartman / Dog Named Stella", 89939,"Stella..you are so sweet... Roadie.. You too.."
"The Dodo", 89939,"An Angel... God bless you..."
"SlideShow ForFun", 89939,"You guys are so great and kind hearted.... Thats why Gumby wants to be with you... Hats off to you...."
"The Dodo", 89939,"Very lovable and kind people... God bless you all .."
"The Dodo", 89939,"Heart touching.... God bless you..."
"Viktor Larkhill", 89939,"Viktor.... Thank you very much.... I was waiting for this since I saw the first video of Sky.... God bless Sky s new family... Viktor and his team...."
"Viktor Larkhill", 89939,"I am with you... Viktor...thank you..."
"The Dodo", 89939,"The vet is an Angel... God bless you.."
"The Dodo", 89939,"Adopt... Dont shop for pets.... That is the only way to teach lesson to the breeders... and providing homes for homeless pets..."
"PETA (People for the Ethical Treatment of Animals)", 89939,"Please stop this circus business with animals..... Please..."
"Hope For Paws - Official Rescue Channel", 89939,"Thank God.... he is home..."
"SlideShow ForFun", 89939,"I pray she gets a loving forever home and family very soon.. God bless.."
"Vet Ranch", 89939,"I thank the vet took care of this innocent puppy... God bless Vet Ranch... for your job..."
"The Dodo", 89939,"The rescuers are Angels in human form... Thank God the puppies and the mother are in safe hands..."
"The Dodo", 89939,"And no human being is as good a friend as these babies are.. God bless you all..."
"Stray Rescue of St. Louis", 89939,"Kind hearted people... God bless you..."
"SlideShow ForFun", 89939,"I pray he gets a loving forever home very soon.. Please save him.."
"SlideShow ForFun", 89939,"OMG... Sweet Bear... I heartfully pray Bear gets a loving forever home and family.... God bless you..."
"The Humane Society of the United States", 89939,"You are making we human beings proud... Thank you for being human... Great work.. God bless...."
"The Dodo", 89939,"God Bless Tupper and Lego..."
"Royal Kennels", 89939,"The way you take care of your dogs and puppies.. It shows.. An amazing human you are .... Amazing puppies... I pray all your puppies get loving forever families.. Where they are treated as part of the family.... not for meaner purposes.. God bless you..."
"The Dodo", 89939,"Cute Rumple... I pray he gets a loving forever home and family... God bless you...."
"The Dodo", 89939,"I pray for Eddie gets well soon and finds lovely forever home and family... God bless..."
"WaysideWaifs", 89939,"Lovely Jake... I pray for a foster fail..."
"The Dodo", 89939,"Great Guy... Great job... God bless you..."
"ASPCA", 89939,"I heartfully pray.. all the puppies get lovely forever homes and families... God bless ASPCA.."
"The Dodo", 89939,"Unconditional love..."
"Stray Rescue of St. Louis", 89939,"God Bless the rescuers... I pray Asher gets a lovely forever home and family.... Thumbs up guys..."
"The Dodo", 89939,"Thank you Angels...."
"The Dodo", 89939,"I loved the ferret..."
"Vet Ranch", 89939,"God Bless you Vet Ranch for your kindness and great work.."
"Vet Ranch", 89939,"Thank you Dr Lee.."
"PETA (People for the Ethical Treatment of Animals)", 89939,"OMG.. Poor creature.. Please save it... Dont spare the human...."
"The Dodo", 89939,"Lovely.."
"ASPCA", 89939,"Blue is a beautiful and loving dog... I pray he gets a loving forever home with loving family.."
"The Dodo", 89939,"God Bless them all..."
"The Dodo", 89939,"I thank the rescuers the vet and  his new family... God bless you all.."
"The Dodo", 89939,"OMG... Lily bug.. You are too sweet.... God bless you..."
"Stray Rescue of St. Louis", 89939,"Randy... God bless you.."
"Hope For Paws - Official Rescue Channel", 89939,"I wish all the best for... Hope for Paws.. Great job.. I pray... the dogs and the puppies get a very loving forever homes and families... God bless you..."
"The Dodo", 89939,"I thank the rescuers and the adopters who gave her a second chance... Thank you... God bless..."
"The Dodo", 89939,"Poor babies... I pray they enjoy their lives with happiness and freedom and beautiful loving forever homes.. Thank you for rescuing the innocent creatures and bringing out the truth about cruelty testing.."
"Viktor Larkhill", 89939,"OMG.. I pray the doggies get well soon and finds lovely forever homes.... Viktor you are an inspiration to many... God bless you.."
"ASPCA", 89939,"I wish he gets a loving forever home.. God bless.."
"The Dodo", 89939,"Guys with Great heart..... God bless....."
"The Dodo", 89939,"Sweet Smudge.... I enjoyed..."
"Viktor Larkhill", 89939,"Skye and Viktor... Wish you all success.... God bless you.."
"The Dodo", 89939,"Wonderful human... Gracey is so comfortable with him... I think shell be very happy with you... Please adopt her.... God bless you.."
"New York Bully Crew", 89939,"Thanks and blessings to Craig... Each and every one of NYBC... I appreciate the dedication love compassion and commitment you have towards your work..."
"The Dodo", 89939,"OMG... They are so intelligent... LOL.."
"Viktor Larkhill", 89939,"The dog is so beautiful... I pray he goes into a lovely forever home.... Thank you Victor.."
"Viktor Larkhill", 89939,"Thank you Victor.. Your dedication towards job is great.. God bless you.. God always be with you.."
"The Dodo", 89939,"They are so beautiful... I pray both of them get adopted and get lovely forever homes and families... Very soon..."
"Stray Rescue of St. Louis", 89939,"Thank you very much Stray Rescue.... God bless you... May God always be with you...."
"The Dodo", 89939,"God Bless you.."
"Royal Kennels", 89939,"Please take them out of those small cages... Get a loving forever homes for these sweet puppies.. Dont give them to the dog fighters or any.... who can not give them love.... God bless you.."
"Viktor Larkhill", 89939,"Little poor boy.. In so much pain... Pl God save him.."
"New York Bully Crew", 89939,"NYBC... You are the Heroes... Inspiration to many..... God bless you..."
"ASPCA", 89939,"I wish Murray gets a sweet forever home... Bless you.."
"The Dodo", 89939,"The dog is in safe hands... God bless you.."
"The Dodo", 89939,"So beautiful...."
"Viktor Larkhill", 89939,"God Bless Viktor and his team... Please update....."
"Viktor Larkhill", 89939,"Viktor.. Its all you and your teams dedication and hard work.. Which shows... God bless you... Betsy is lovely....."
"Viktor Larkhill", 89939,"OMG.. Who is chasing whom..."
"The Dodo", 89939,"Great job... Thumbs up.."
"Viktor Larkhill", 89939,"Great job Viktor... God bless you.."
"The Dodo", 89939,"I pray they get a loving forever home and family together..... Thank you for rescuing the innocent souls...."
"The Dodo", 89939,"God Bless you Both.. Merry Christmas..."
"The Dodo", 89939,"Wonderful.... Thank you Dodo..."
"The Dodo", 89939,"Please dont blame the breed... Owners should be blamed.... The dogs are what their owners make.... God bless you...."
"The Dodo", 89939,"All Smiles... God bless."
"The Dodo", 89939,"I thank you all.. God bless you all.."
"The Humane Society of the United States", 89939,"God Bless you all..."
"World Animal Awareness Society", 89939,"Great job.. Thumbs up for you..."
"The Dodo", 89939,"Thanks for his foster parents... Winston is in safe hands..."
"WaysideWaifs", 89939,"A gentle loving intelligent Lucy... You are a sweet baby... I pray and wish heartfully... You get a loving forever home and family... God bless you.."
"WaysideWaifs", 89939,"Please update the video..."
"The Dodo", 89939,"LOL.... God bless.."
"Viktor Larkhill", 89939,"OMG.. Who did this to the innocent doggy.. Is he a human or demon?? Definitely not a human being... Viktor.. You are an Angel.. In your hands she is going to be OK... I pray for the Sky.. I wish she gets well soon.. God bless you..."
"The Dodo", 89939,"World is this beautiful.. Because.. People like you exist... Thank you.."
"Viktor Larkhill", 89939,"Now Skye is so much better.. Thank you Viktor and your team.. You are amazing people.. God bless you all.."
"Viktor Larkhill", 89939,"I have no words... God bless Viktor and his team..."
"Hope For Paws - Official Rescue Channel", 89939,"God Bless you all...."
"National Mill Dog Rescue", 89939,"Only tears.. and blessings.. RIP BABY IRIS... YOU WON... HUMANITY LOST..."
"World Animal Awareness Society", 89939,"All the puppies are in safest hands... with best family.. God bless you all.... Great job guys... Thumbs up for you..."
"Stray Rescue of St. Louis", 89939,"Great job guys.... I wish she finds a forever home and family..."
"The Dodo", 89939,"Thumbs up for you guys.... I wish the dog gets a loving forever home..."
"The Dodo", 89939,"THE ANGELS..... GOD SENT..."
"Royal Kennels", 89939,"Give them.. Only to loving owners... who can make them a part of their family... Not use them for meaner purposes... God bless.."
"Royal Kennels", 89939,"Emma and her puppies...adorable Awesome.....  I can see your love and care for them... God bless you.."
"Viktor Larkhill", 89939,"RIP Roxy.... I thank Viktor and his team for they their best to save Roxy....."
"The Dodo", 89939,"The Guy is God...."
"Viktor Larkhill", 89939,"Merry Christmas Sky Viktor and his team.... God bless you..."
"The Dodo", 89939,"Amazing... I support Him... End BSL...."
"The Dodo", 89939,"Thank God.. Iris is in safe hands..."
"Viktor Larkhill", 89939,"Sky... You are going to be OK... because you are with Viktor... God bless you.."
"The Dodo", 89939,"Great job....."
"Viktor Larkhill", 89939,"Viktor and his team.. True Heroes.."
"The Dodo", 89939,"Soo sweet baby... God bless you"
"Vet Ranch", 89939,"Thank you Vet Ranch... Great job... God bless..."
"Viktor Larkhill", 89939,"Luna.. I pray you get well soon.. God bless you..I Thank Viktor and his team..."
"The Dodo", 89939,"Bobby.... You will be OK... I am praying for you... You shall get a loving forever home... Yes.. My belief..."
"Viktor Larkhill", 89939,"OMG... Who did this to the innocent doggy.... Thank you.. God bless you..."
"The Dodo", 89939,"Why hunting.... Heartless people... Thank you Lady for saving a life... Wish and pray the earth had more people like her...."
"The Dodo", 89939,"LOL..."
"The Dodo", 89939,"The dogs Mom is an Angel... God bless you...."
"The Dodo", 89939,"Please stop BSL... There are bad owners.. Not bad dogs...Dogs are what they are made...."
"The Dodo", 89939,"Please update..."
"The Dodo", 89939,"I pray the dog heals soon and gets a loving forever family.. God bless the dog... Thank you for rescuing the baby.. And giving him a second chance.... God bless you.."
"The Dodo", 89939,"God Bless Sassy and his family... Thumbs up for you guys..."
"The Dodo", 89939,"Keep petting puppy... Hahaha...."
"World Animal Awareness Society", 89939,"Thank you for the update..."
"World Animal Awareness Society", 89939,"You are an Angel... Thank you for rescuing Maxine... Beautiful puppy... I wish Earth had many people like you... God bless you...."
"The Dodo", 89939,"Heart touching... Mama and puppies are so cute... They are in safe hands... Thank God."
"The Dodo", 89939,"Thanks God... Thank you...."
"World Animal Awareness Society", 89939,"They are so innocent loving... Thank God they all are in safe hands..."
"Viktor Larkhill", 89939,"You guys are Angels on the earth..."
"WaysideWaifs", 89939,"All the best Vega... Wish you good luck...."
"New York Bully Crew", 89939,"Keep it up.. NYBC... God bless.."
"The Dodo", 89939,"Amazing.. Both the Dog and the Dad... Thumbs up..."
"Viktor Larkhill", 89939,"OMG... Viktor.. All those lovely beings need you.. We love your videos... You are an Angel on the earth.. God bless you and your team..."
"New York Bully Crew", 89939,"You Guys are amazing.... Thumbs up NYBC.."
"Viktor Larkhill", 89939,"Viktor.. An Angel on earth... Hows Skype..."
"Viktor Larkhill", 89939,"Viktor hats off to you the vet and Skye.... God bless you.."
"Hope For Paws - Official Rescue Channel", 89939,"Thank you guys..... God bless you... I pray Gershwin gets a loving forever home and family very soon...."
"Soi Dog Foundation", 89939,"You guys are Angels.. literally... You brought so much transformation.. Puppy is now so healthy and playful God bless everyone who helped him to be like this..."
"Viktor Larkhill", 89939,"RIP Tin Tin... Run free baby.."
"ASPCA", 89939,"I pray he gets a loving forever home very soon.."
"The Dodo", 89939,"Pets are what the owners make them... Please check the owners before implementing BSL..."
"Hope For Paws - Official Rescue Channel", 89939,"I pray Sylvester and Speedy get a loving forever home together....."
"The Dodo", 89939,"An amazing Lady... With kind heart... God bless you..."
"SlideShow ForFun", 89939,"They are so sweet and gentle.... I thank the Lady who rescued them and the family who adopted them and gave them a second chance in life.. God bless you..."
"World Animal Awareness Society", 89939,"Amazing people... God bless you.."
"The Dodo", 89939,"God Bless the puppies..."
"The Dodo", 89939,"Love you All.... Thank you very much...."
"Vet Ranch", 89939,"Poor puppy.. Thank you for saving him...."
"The Dodo", 89939,"BRAVO...."
"Soi Dog Foundation", 89939,"You are Angels... I wish she gets a lovely forever home... God bless you.."
"The Dodo", 89939,"This guy is from Heaven... a very kind hearted person.... God bless you.."
"Viktor Larkhill", 89939,"I salute Viktor and his team... God bless you.."
"Hope For Paws - Official Rescue Channel", 89939,"Beautiful dog... Thank you for rescuing Pumba...I Pray he gets a loving forever home soon..."
"The Dodo", 89939,"LOL.."
"The Dodo", 89939,"True Hero..."
"Brave Wilderness", 90697,"his beard grew back yay!"
"SlideShow ForFun", 91091,"k cmon are u serious?? That face at 47 seconds just made me tear up. What a precious sweetie! 😍  I hope Smokey and Mr. Elephant find a great new home! 🏡"
"SlideShow ForFun", 91091,"aw...I luv happy endings! 😢😢😢...❤"
"The Dodo", 91091,"Uh love horses; theyre so beautiful and majestic. 🐎...Glad shes safe. 😊"
"The Dodo", 91091,"Gosh at 0:57 You can see the fear. Wow poor baby. 😢"
"Cole & Marmalade", 91091,"aw....well he aint nuthing but a cutie baby!😍😍😍"
"TCTV", 91113,"tha cá đói vô câu"
"Taylor Nicole Dean", 91209,"Please call one of the snakes Solomon!"
"Kitten Academy", 91533,"Awww so cute adorable kittens so cute congrats angel"
"Brave Wilderness", 92780,"She can be my sloth mom"
"Brave Wilderness", 92886,"haha been watching this guy for a while =) super hillarious!"
"Talking Kitty Cat", 94999,"Steve you are stupid. I bet you dont know anything about black cats. You shouldnt have bought Sylvester in the first place because black cats are UNLUCKY."
"Talking Kitty Cat", 94999,"Lol how he said **** off"
"Robin Seplut", 96113,"They are sooooooo cute"
"Robin Seplut", 96113,"I just want to hug all of them"
"Taylor Nicole Dean", 96113,"Getting your ears pierced are the worst. But lucky for me I got my ear pierced when I was a baby"
"Brave Wilderness", 96113,"You cut it the wrong way. If you cut the right way it would be easier to get a big chunk of the durian"
"Brave Wilderness", 96113,"In the Muslim culture people love to eat durian❤️"
"Kamp Kenan", 96244,"what about Gamera!!!"
"Big Cat Rescue", 97097,"cute cuple"
"Big Cat Rescue", 97097,"nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo"
"Big Cat Rescue", 97097,"big cat rescue i have a quisten how oold are max and aspen"
"Zak Georges Dog Training rEvolution", 97512,"https://youtu.be/_4--NVrGWkU"
"Brave Wilderness", 98075,"Get stung by a hornet plz"
"Vet Ranch", 98133,"Rip dogos dick rip doggos manhood"
"Gohan The Husky", 98398,"Theres just a bed in the middle the entrance"
"foxalbiazul", 98398,"You take the strawYou get the paw"
"Brave Wilderness", 98440,"Coyote I own your book because I met your mom a few days from my birthday. My mom decided to get the book for my birthday."
"Brave Wilderness", 98765,"Helli"
"Top-5 Top-10", 99253,"from Sweden"
"Brave Wilderness", 99855,"Usually click bait pissis me of but this is fine"
"Talking Kitty Cat", 100240,"are you retarded Sylvester"
"CelebrityHauteSpot", 100662,"My favorite parts were when 1) Lisa spoke in Russian and 2) Dani spoke really good Spanish."
"CelebrityHauteSpot", 100662,"If I can actually win this (somehow......) I would be so thrilled!"
"Catman Outdoors", 100887,"Love your videos man I wanna go on a hunt with you now 😂 but nice buck man"
"Mr. Max T.V.", 101352,"1 st comment!!! I love seeing mr max he acts like Hesse still a baby!!! I love him since Im getting a cockatoo for myself I love these vids!!"
"LPE360", 101723,"7:56 hilarious but fucked up at the same time."
"Brave Wilderness", 102287,"When rhett and link did this this didnt happen"
"Brian Barczyk", 102287,"What species is bella??"
"Grupero Pegassero Inmortal", 102649,"megustan  mucho estas canciones  merecurdan mucho  amis nobias que tube asemuchos  años"
"Brave Wilderness", 103326,"毎回、本当すごいね😱"
"Talking Kitty Cat", 103498,"Isnt Sylvester spayed?"
"Brave Wilderness", 103527,"I like dinosaurs"
"Brave Wilderness", 103626,"*Next video:* Stung by a .50 caliber!"
"Brave Wilderness", 103626,"Send newts"
"Hope For Paws - Official Rescue Channel", 103626,"You guys are amazing i love you guys"
"Brave Wilderness", 103626,"Thats a danger noodle"
"Brave Wilderness", 103626,"Get bitten by a desert eagle"
"Brave Wilderness", 104018,"How da f*ck is he still alive?"
"DailyBigCat", 104598,"i just suggested cz u guys care about the name of the tigers like in case of kiesha and tiesha i hope u dont mind my suggestion"
"DailyBigCat", 104598,"hey guys if its a indian name like priya and seth then charaka needs to be start with cha as in chase or chipotle not with sha then rest rak like ruk as u pronounce luck no need to add extra a in the end it and stretch the name its only charak that a in the end is unnecessary"
"Cole & Marmalade", 104598,"I love ur videos n i know that u are a person who is doing alot to help animals but still u dont have the right to interfere with nature. like all natural process reproduction is also essential and evolving for them just because we love specific kind of animals and started giving them shelter that is the only way for their sustainance before our interference cats and dogs were living on their own in nature. Whats wrong is government and society to think that a particular land belongs to them n if animals want to live on that space they have to live according to our rules. You can never even think about a rule to stop a poor or weak human from reproduction bt this is so ok to spay n neuter animals"
"꼬부기아빠 My Pet Diary", 104939,"혹시 제품명 알려주실 수 있나요? 넘 귀여워요😻"
"Brave Wilderness", 105014,"Make a carnivous sea flea plzzzz..."
"Brave Wilderness", 105984,"so i guess its a vertebrate?"
"PETA (People for the Ethical Treatment of Animals)", 105984,"Im crying so bad 😢😢😢"
"Hope For Paws - Official Rescue Channel", 106885,"I always skip to the end to see the happy parts :)"
"Hope For Paws - Official Rescue Channel", 106885,"WELL FREAKIN DONE! YAYAY"
"Hope For Paws - Official Rescue Channel", 106885,"Omg I love you guys so much!"
"Kitten Academy", 106885,"Naww"
"Zak Georges Dog Training rEvolution", 107095,"My dog is a Chihuahua mixed with a weiner dog hes so 💝cute💝"
"Taylor Nicole Dean", 107692,"I also live in texas and see this"
"Taylor Nicole Dean", 107692,"you should get hermit crabs"
"foxalbiazul", 107975,"Hahahah Cute :D"
"MonkeyBoo", 107975,"a monkey pet that amaizing nice :d"
"foxalbiazul", 107975,"He has on 15 April and ronron on 16 April"
"Hope For Paws - Official Rescue Channel", 108221,"First"
"Hope For Paws - Official Rescue Channel", 108221,"That trap was a piece of crap it closed fast enough but failed to latch you should invest in some better ones.  Great video though thanks for all your hard work."
"Hope For Paws - Official Rescue Channel", 108221,"Must have been someones pet at one time.  Still it is impressive how well Loretta can make animals feel so comfortable.  Lucky animals."
"ViralHog", 108221,"Stupid indian moron you should have smashed him in between the guard rail till there was nothing left."
"LPE360", 108221,"Seriously is there anything Russians can do right?"
"ViralBe", 109403,"Rottweiler wins every time. Fuck pit bulls they shouldn’t be allowed as pets"
"Gardea23", 109403,"You’re dogs are beautiful. I have a Siberian Huskie who seems to be moulting. It doesn’t seem to bother him to much I just wondered if this is normal and how often it happens. His fur is coming out in lumps but doesn’t leave bald patches as he has new fur underneath please can someone let me know if this is normal."
"Paws Channel", 109403,"I love this video good on the bull terrier and the owner for not taking shit. Pit bulls are the most vicious dogs and should be muzzled. Just check the dog attack stats."
"Coon Creek Outdoors", 110135,"Why were coon or possum skins ever worth anything for last hundred years? Whats driving the prices?"
"Brian Barczyk", 110142,"your dog is cute and i wish she/he dose not die :("
"StormyRabbits", 110217,"Ice cream"
"Brave Wilderness", 110729,"The backdrop for lost?"
"Brave Wilderness", 110729,"Its mr crabs 🦀"
"Brave Wilderness", 110729,"Ive been waiting for this for over a year"
"Brave Wilderness", 110729,"Holy shitard nation"
"Zak Georges Dog Training rEvolution", 110860,"Thanks Zak for all of your videos! My fiancé and I just got a puppy for my birthday and shes very energetic and loves to nibble. Im so glad I stumbled across your videos. I cant wait to start working on training. Besides turkey what other treats do you suggest? I have a golden retriever and she seems to have too small of a mouth to eat/ chew many treats currently."
"Paws Channel", 111451,"I love dogs they are amazing"
"Rogan Shannon", 112133,"It seems to me that the history of writing is often romanticized.  The four places in history that developed writing systems were due to having actual needs - agriculture for growing communities required more brain power than individuals could muster.  They needed to offload their past learning into written documents.  This way new people can learn what to do without bugging the few people already know effectively creating government ordinances.  Seeing the power of communicating across distances some people borrowed the governments writing system and tailored it for their own purposes.  The most effective motivator for learning to read and write has always been a government requiring someone to understand a writing system under punishment of losing money.I believe writing to be useful as an alternate rendering of ideas.  Yes ASL videos capture your meaning accurately for someone who knows ASL.  It has a lot of nuance that culturally literate people may notice.  But the closed captions are there to eliminate the nuances.  You use standard spelling and proper grammar so others can look up your meaning even if they are not culturally literate English speakers.If you had published your captions in a blog post people can actually read four times faster than your speech / signing.  I could skim the paragraphs of the blog post quickly looking for something that is relevant to me.  It can be indexed by Google or I can just use the Find feature in my browser for particular words.  It can be automatically (though poorly) translated into hundreds of other languages.  I can print it out and highlight parts of it for review later.  Dictionary writers encyclopedias magazines books newspapers etc. can use your blog post as source material.ASLWrite or Si5s could realize these kind benefits.  My personal take is that an alphabet is better than picture writing because it doubles as an index.  I created the ASLSJ writing system because I wanted to use ASL words in my computer programs.  It only uses the alphabets letters so I could upload the closed captions for your video in ASLSJ today.Your video starts with the ASL word hello.  In English each letter of a word phonetically tells you how to move your lips tongue and throat to pronounce the word.  In ASLSJ the word bepo-r phonetically tells you to put your open-B handshape (the first two letters - be) in front of your chin (the next letter - p) with the palm turned out (next letter - o) then move the hand to the right (-r).  bepo-r is an ASL idea.  It does not require translation into English and it does not require an artists painting like ASLWrite or Si5s.  Now I can create a dictionary to hold that word and thousands more.  Unfortunately it wouldnt help because nobody would want to read it - so were back to square one."
"Brave Wilderness", 114368,"so cute"
"Brave Wilderness", 114368,"sorry for the turtle，he cant clean the bird poop on his own"
"The Dodo", 114567,"Omg! Poor thing... 🙁"
"Brave Wilderness", 114706,"3:28 I so badly wanted him to say Its everyday bro"
"Brave Wilderness", 114706,"He spotted a kabuto!!!"
"Brave Wilderness", 114706,"Imagine that crawling on your shoulder"
"Brave Wilderness", 114706,"So youre in Ohio Ive got a suggestion sting Jake Paul with the bug!"
